seed,team_no,team_name,institution,score,time
3,1119,Opsimath,CEME  NUST,40,1:34
4,1,N/A,,0,3:00
5,1191,Noobray,Lahore Garrison University,20,50.2
6,2,N/A,,0,3:00
8,975,Ezy Seen Ha,CEME  NUST,60,2:18
10,3,N/A,,0,3:00
11,1028,Team Code Red 2.0,Lahore University of Management Sciences,40,32.59
12,4,N/A,,0,3:00
14,1124,Tangled,CEME  NUST,70,38.4
15,1286,Pheonix,NUST EME,100,54.62
16,1041,Adastra 2.0,Lahore University of Management Sciences,100,1:26
17,5,N/A,,0,3:00
19,6,N/A,,0,3:00
22,1024,LUMS team 3,Lahore University of Management Sciences,10,1:26
23,1184,Team 5VDC,Lahore Garrison University,40,1:31
24,985,DJNZ,CEME  NUST,60,45.9
