S,team_no,team_name,institution,score,time
1,1502,HS 2,HeadStart,100,27.33
3,1234,TME robo titans,Future World School Bahria Town,55,45.98
4,1514,HS16,HeadStart,100,01:58.2
5,1208,TME Innovon,The Millennium Education Pakistan,55,32.64
6,1518,hs18,headStart,100,13.92
7,1244,Quantum Bots,The Millennium Education Pakistan,55,01:50.3
8,1281,ISL Team 3,International School Lahore,100,25.7
9,1213,TME Voltage Vipers,The Millennium Education Pakistan,40,02:48.6
10,1199,TME -Unicorn,The Millennium Education Pakistan,40,02:29.8
11,1203,TME Dark Voltage,The Millennium Education Pakistan,40,01:10.5
12,1204,TME - One World Aurora,The Millennium Education Pakistan,10,02:46.2
13,1238,TME B,The Millennium Education Pakistan,70,24.45
14,1517,HS 11,HeadStart,55,01:48.6
15,1512,HS14,HeadStart,55,01:53.4
17,1220,TME Future Forge,The Millennium Education Pakistan,15,3:00
18,1516,HS 10,HeadStart,100,27.98
19,1217,TMEayatfatima,(private),0,02:26.2
20,1229,TME The Future Makers,The Millennium Education Pakistan,55,02:31.2
21,1507,HS 7,HeadStart,100,27.38
22,1515,HS 17,HeadStart,100,55.26
23,1211,TME Robo Legends,The Millennium Education Pakistan,25,02:49.9
25,1279,ISL Team 1,International School Lahore,100,02:27.4
26,1218,TME FrostByte,The Millennium Education Pakistan,100,37.95
27,1271,Beqarar Janoon,Roots IVY ICMS,55,01:17.6
28,1506,HS 6,HeadStart,100,01:37.5
29,1233,TME caption voltage,Future World School Bahria Town,80,01:52.3
30,1228,TME The Arena Beast,The Millennium Education Pakistan,55,01:46.5
31,1207,TME Robonova,The Millennium Education Pakistan,30,02:44.4
32,1223,TME Phantom Core,The Millennium Education Pakistan,25,3:00
33,1235,TME Thunder17,Future World School Bahria Town,100,0.109722222
34,1200,TME - Onyx,The Millennium Education Pakistan,55,01:23.3
35,1510,HS12,HeadStart,100,01:13.9
36,1505,HS 5,HeadStart,100,01:09.3
37,1511,HS 13,HeadStart,40,01:18.1
38,1236,TMEjawadkhattak,(private),0,3:00
39,1225,TME Project Atlas,The Millennium Education Pakistan,45,02:51.1
41,1240,TME C,The Millennium Education Pakistan,55,01:58.9
43,1214,TME Titan Torque,The Millennium Education Pakistan,40,3:00
44,1501,HS 1,HeadStart,40,01:40.2
45,1201,TME Neural Knights,The Millennium Education Pakistan,25,02:35.8
46,1224,TME Algorithmics,The Millennium Education Pakistan,55,01:40.8
47,1219,TME RoboSapiens,The Millennium Education Pakistan,45,01:17.0
48,1282,ISL Team 4,International School Lahore,55,3:00
49,1503,HS 3,HeadStart,100,27.13
50,1508,HS 8,HeadStart,65,01:02.8
52,1227,TME Maze Mastermind,The Millennium Education Pakistan,55,54.98
54,1243,TME RoboNova,The Millennium Education Pakistan,55,3:00
55,1241,TME D,The Millennium Education Pakistan,100,30.8
56,1215,TMEareejfatima,(private),25,02:46.1
57,1146,LGS JT Team E,LGS,10,02:59.0
58,1232,TME RAZOR,Future World School Bahria Town,55,02:55.8
60,1504,HS 4,HeadStart,100,01:09.4
61,1513,HS15,HeadStart,0,02:55.1
62,1222,TME Innovators,The Millennium Education Pakistan,40,31.23
63,1202,TME - One World Bots,The Millennium Education Pakistan,25,01:59.3
64,1226,TME Robo Raptors,The Millennium Education Pakistan,55,01:37.6
65,1280,ISL Team 2,International School Lahore,100,21.23
66,1237,TME A,The Millennium Education Pakistan,100,15.91
67,1301,Techno Crusaders,The Lab School,100,01:18.6
68,1509,HS 9,HeadStart,55,01:14.9
69,1611,Archive,,55,43.76
70,1242,Andey wala burger,,100,51.95
