seed,team_no,team_name,institution,score,time
1,1083,DriftX,LGS,,
2,1273,DroBotX1,Apple Group of Schools F17,,
3,1242,Anday Wala Burger,(private),,
4,1094,JT Team Blitz,LGS,,
5,1065,Team Potentia,LGS,,
6,1198,The Robo Kings,The Millennium Education Pakistan,,
7,1049,Abdalian Ready To Race,Cadet College Hasanabdal,,
8,1090,chrispy chickens,LGS,,
9,1255,ISL TEAM 3,International School Lahore,,
10,1029,LGS Islamabad,LGS,,
11,1003,ctrl+win,Cadet College Hasanabdal,,
12,961,NJV Apex Racers,NJV Government Higher Secondary School Karachi.,,
13,1102,Dabba Union,(private),,
14,1254,ISL TEAM 2,International School Lahore,,
15,1059,CETC-1,Crescent Model Higher Secondary School,,
16,1103,Team Robox,N/A,,
17,957,Team Forge,NUST EME,,
18,1253,ISL TEAM 1,International School Lahore,,
19,1086,JT Team X,LGS,,
20,1212,The Robo Kings,(private),,
21,1016,FAAAHHH,Roots IVY ICMS,,
22,991,Buraq Velocity,Suffah Intellectual School,,
23,1148,LGS JT Team Alpha ReadyToRace,LGS,,
24,1001,Aitchison College Team A,Aitchison,,
25,1264,Barq Raftar,Learnobots,,
26,1089,JT Team A,LGS,,
27,1176,LGS JTI Senior B,LGS,,
28,1099,Error 404,N/A,,
29,1256,ISL TEAM 4,International School Lahore,,
30,1107,Team Forge,(private),,
31,1022,LPPS - Nuevo V3,Private,,
32,1167,LGS JTI Senior A,LGS,,
33,1101,Team Raftaar,N/A,,
34,994,Apex Intellect,Suffah Intellectual School,,
35,1145,Wicked Crew,NUST EME,,
36,959,Team nexus,(private),,
