seed,team_no,team_name,institution,score,time
1,1151,Farmers,National University of Sciences and Technology(NUST) Other than CEME,,
2,998,MK 4,CEME  NUST,,
3,982,Alamdar,(private),,
4,1251,GIKI_Hunters,Ghulam Ishaq Khan Institute of Engineering Sciences and Technology,,
5,978,IDK,(private),,
6,1004,Satra Meeli,CEME  NUST,,
7,950,AN�w�BIS EME,CEME  NUST,,
8,966,Bayrakthar AF2,(private),,
9,965,Bayrakthar AF1,(private),,
10,1257,HyperTracer,CEME  NUST,,
11,1259,Teen Bahadur,CEME  NUST,,
12,1080,Spooky,CEME  NUST,,
13,1155,System breakers,National University of Sciences and Technology(NUST) Other than CEME,,
14,1246,Visitors,CEME  NUST,,
15,1262,Electrobots,CEME  NUST,,
16,1258,HyperTracer,CEME  NUST,,
17,1178,Aayein Baingan,Lahore Garrison University,,
18,1265,NUST Robotics & A.I.,National University of Sciences and Technology(NUST) Other than CEME,,
19,1158,LineX,NUST EME,,
20,1170,Bado Badi,Lahore Garrison University,,
21,987,Mclaren-A,NUST EME,,
22,1260,Hypertracer,CEME  NUST,,
23,1076,Mike Oxman,CEME  NUST,,
24,1109,Technologia,CEME  NUST,,
25,1074,Harry Potter,CEME  NUST,,
26,1169,Code kra do,Lahore Garrison University,,
27,1261,Hypertracer,CEME  NUST,,
28,1058,Iceman,CEME  NUST,,
29,1056,Fobo,Bahria University Islamabad,,
30,1084,The Black Cats,Capital University of Science & Technology,,
31,979,GM,(private),,
32,1125,ropeless knot,CEME  NUST,,
33,1081,Team Quantum,University of Central Punjab,,
34,1033,Team AK,University of the Punjab,,
35,971,STEM girls,National University of Sciences and Technology(NUST) Other than CEME,,
36,977,MKC,(private),,
37,1144,Wicked Crew,NUST EME,,
38,1173,Janooni Garrisonians 2.0,Lahore Garrison University,,
39,1038,Goli-Baz,Superior University,,
40,1115,Team Farhan,CEME  NUST,,
41,1055,FAMAS,Habib University,,
42,1091,The Fast & The Curious,Institute of Business Administration Karachi,,
43,1130,Power rangers,CEME  NUST,,
44,988,Mclaren,CEME  NUST,,
45,1174,HSB,Information Technology University Lahore  (ITU),,
46,1006,Team Dominators,University of Central Punjab,,
47,1007,Team Dominators 2.0,University of Central Punjab,,
48,1165,Andy wala burger,Lahore Garrison University,,
